"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","j_sub_region","species","Region"
"146",1551.48309640182,8065.05629632724,23.9598908939231,197.942135297225,537.780808209043,1394.3835984752,8477.36439900104,1.11421267359418,15000,0,1,"Nr[10,9]",10,9,"RNPH","4.2"
"147",5541.00355284468,9478.23410195168,424.409240448751,1592.49228734501,3157.01228219938,6255.99707404863,25094.4793841701,1.01177305716681,5187,0,1,"Nr[11,9]",11,9,"RUTU","4.2"
"148",1540.81427354418,3213.7363764763,74.2169675728689,367.568170128337,771.339997549976,1626.39480353227,7729.79197543089,1.04127200535502,1538,0,1,"Nr[12,9]",12,9,"SAND","4.2"
"149",1384.35673020146,4054.87106638098,23.0610378442284,183.974492921272,499.967458309549,1279.44632904988,7896.76280565026,1.07609548289912,9097,0,1,"Nr[13,9]",13,9,"SEPL","4.2"
"150",110077.533085545,48366.3634683725,45500.9824179283,76472.5854083253,100677.539550772,133666.108196602,228014.223963785,1.00094449520164,6194,0,1,"Nr[14,9]",14,9,"SESA","4.2"
"151",994.675117815025,1865.4477005539,27.1015711805391,188.730618022345,457.290247293437,1061.41740322502,5241.90019372433,1.00636483809277,7061,0,1,"Nr[15,9]",15,9,"STSA","4.2"
"152",359.765458593158,669.223063770101,8.4396649251334,65.2367089779572,165.626916047259,392.051712104334,1876.41403021453,1.00030603371954,15000,0,1,"Nr[16,9]",16,9,"WISN","4.2"
"153",14384.4960854358,11729.354546352,3254.95053626673,7384.43393600371,11268.9839426369,17563.4965767557,44444.5377356981,1.00008033670695,15000,0,1,"Nr[17,9]",17,9,"WRSA","4.2"
"154",300700.79888293,338284.16288185,43403.3746389035,114108.323077669,199759.76515481,360329.382485753,1180886.44741307,1.00440322423559,4704,0,1,"Nr[1,10]",1,10,"AMGP","5.2"
"155",117977.273827682,405395.262030446,2697.87194620232,11883.3798433352,29364.9880362846,83058.8333043945,815967.604338754,1.04822612461615,2529,0,1,"Nr[2,10]",2,10,"BASA","5.2"
"156",36724.9887135839,128223.311930843,278.894714281766,2217.80330971345,7298.25677594967,25101.0105950132,254543.791740081,1.00877892703173,15000,0,1,"Nr[3,10]",3,10,"BBPL","5.2"
"157",27329.2226912503,198607.668997067,357.851100636446,2030.95546244201,5032.16785881422,14169.7941774427,178195.743189584,1.10529612034031,15000,0,1,"Nr[4,10]",4,10,"BBSA","5.2"
"158",701409.759338695,1459622.33138795,28854.0148687485,122029.529105604,286411.491094058,696230.024813854,4181564.37580215,1.00042196202708,15000,0,1,"Nr[5,10]",5,10,"DUNL","5.2"
"159",61788.9306689348,241838.583723149,334.231476064585,3217.96817919186,10651.457073595,38711.0767622033,438280.548669449,1.00198076979685,15000,0,1,"Nr[6,10]",6,10,"LESA","5.2"
"160",200399.029703221,484467.311614604,13679.0068419889,36393.4346184344,72501.2551362487,175849.69314954,1222219.83663078,1.01127532031174,7284,0,1,"Nr[7,10]",7,10,"PESA","5.2"
"161",15756.3397831503,80569.9832063551,44.2678984016203,509.185801233808,1815.34360247389,7316.56431831256,117071.034242802,1.04125424462655,8232,0,1,"Nr[8,10]",8,10,"REKN","5.2"
"162",1018073.13503571,1678687.3629106,75368.3904087915,251699.42268388,529344.252335839,1161470.03834837,4847432.08666569,1.00197224595344,15000,0,1,"Nr[9,10]",9,10,"REPH","5.2"
"163",77072.0612896507,361252.888421641,625.12837573437,3664.73020379557,10875.52513058,40911.3739335994,560597.626162682,1.06120888477047,13915,0,1,"Nr[10,10]",10,10,"RNPH","5.2"
