"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region"
"351",1095.64583767718,4188.64311047975,0.618137297329883,29.7081623270789,157.359472490918,713.805828878116,8085.61475510896,1.04189262930319,14843,0,1,"n[11,3,7]",11,"3",7,"RUTU","3.2"
"352",2253.15710058751,5184.16780047994,22.2181823581897,272.841109762495,803.858722313611,2207.6486493573,13457.0812684076,1.01990818174005,1518,0,1,"n[12,3,7]",12,"3",7,"SAND","3.2"
"353",1636.94108995241,4982.00512339694,3.4027513434143,95.2108775365069,403.770610231243,1434.18067897055,11073.970368633,1.01271372509161,6277,0,1,"n[13,3,7]",13,"3",7,"SEPL","3.2"
"354",12600.7217755559,10008.3006450643,2035.29504627822,5900.81585113149,9912.64221618354,16182.4662817563,39249.2424131104,1.0006998114081,15000,0,1,"n[14,3,7]",14,"3",7,"SESA","3.2"
"355",1077.54246597956,2574.85202972704,3.36188697328496,77.0416271723373,305.996878167486,1040.4322161148,6909.16911366562,1.01430104401252,8772,0,1,"n[15,3,7]",15,"3",7,"STSA","3.2"
"356",541.294425575407,1204.34121222122,1.65750442391924,38.8290515181417,152.12355037003,529.382729464866,3497.07913624978,1.00131805211581,15000,0,1,"n[16,3,7]",16,"3",7,"WISN","3.2"
"357",365462.310266533,176564.961483274,139975.519968028,243409.310906946,328217.300186996,443505.757034749,810934.890398228,1.00035696518746,6101,0,1,"n[17,3,7]",17,"3",7,"WRSA","3.2"
"358",600.476027438299,1130.50392724468,12.8348489396631,100.805613404452,261.809389835047,644.499862204363,3314.1355626476,1.0043340037577,15000,0,1,"n[1,1,8]",1,"1",8,"AMGP","4.1"
"359",945.761925793652,5384.76450909383,3.38068108063315,56.5930021773525,202.177332631409,691.232891120954,6205.21077920719,1.16511785780132,10011,0,1,"n[2,1,8]",2,"1",8,"BASA","4.1"
"360",386.891713695542,1224.48439449245,0.985368997308974,20.1562206178385,79.4890991319045,295.918485035773,2722.03218952967,1.00075212267579,15000,0,1,"n[3,1,8]",3,"1",8,"BBPL","4.1"
"361",309.395323867734,1481.8609313091,0.259848027769416,8.40563012102447,42.4705650464291,185.957521763732,2231.55446202303,1.04850333115522,7422,0,1,"n[4,1,8]",4,"1",8,"BBSA","4.1"
